track_id,track_name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,liked
1huWqmpiYksaPppQHLDhZP,Outside Of This Town,Kingfish,6fCDiY92JVAorr6HrKStRH,"['Christone ""Kingfish"" Ingram']",['5jMGnqJkgPaiJzwy5bOcYX'],1,1,False,0.418,0.866,11,-4.033,0,0.0513,0.00381,0.00159,0.581,0.643,130.192,248036,4.0,2019,2019-05-17,0
31dqpLUModJWNbxrXu6TWd,Shot in the Dark,The Ultimate Sin,2IPIumpbhrtBvjyzIgGE9j,['Ozzy Osbourne'],['6ZLTlhejhndI4Rh53vYhrY'],9,1,False,0.581,0.7909999999999999,6,-7.262,1,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,256293,3.0,1986,1986-02-22,0
0KEhlgtlk0HuqBIqfGCGdF,State of Love and Trust,Singles - Original Motion Picture Soundtrack,58BEJ01sL8wK5LV3TPyngC,['Pearl Jam'],['1w5Kfo2jwwIPruYS2UWh56'],8,1,False,0.326,0.894,9,-9.558,0,0.0443,0.00035,0.0,0.435,0.664,165.19299999999996,227200,4.0,1992,1992-06-02,1
4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,Santana's Greatest Hits,1YrdGK2y2Edq2R5gFja2ai,['Santana'],['6GI52t8N5F02MxU0g5U69P'],6,1,False,0.489,0.349,2,-14.295,0,0.0323,0.6759999999999999,0.0789,0.0866,0.622,124.348,196467,4.0,1969,1969,1
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Electric Ladyland,5z090LQztiqh13wYspQvKQ,['Jimi Hendrix'],['776Uo845nYHJpNaStv1Ds4'],15,1,False,0.4379999999999999,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4.0,1968,1968-10-25,1
2B98ljvzqpCVgt5reTHq28,Better Man,Vitalogy,5pd9B3KQWKshHw4lnsSLNy,['Pearl Jam'],['1w5Kfo2jwwIPruYS2UWh56'],11,1,False,0.445,0.6709999999999999,2,-7.937,1,0.0387,0.165,1.56e-05,0.0791,0.267,125.712,268587,4.0,1994,1994-11-22,0
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',The Essential Journey,5pfpXvoJtSIFrbPIoBEv3R,['Journey'],['0rvjqX7ttXeg3mTy8Xscbt'],2,1,False,0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25,248907,4.0,2001,2001-09-19,1
2MKEQhvPb2VaJXjx5X8Yg6,No Way Back,In Your Honor,2eprpJCYbCbPZRKVGIEJxZ,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],2,1,False,0.254,0.959,9,-3.447,1,0.0672,1.26e-05,7.31e-06,0.483,0.525,186.438,196573,4.0,2005,2005-06-14,0
5FZxsHWIvUsmSK1IAvm2pp,Best of You,In Your Honor,2eprpJCYbCbPZRKVGIEJxZ,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],3,1,False,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.19799999999998,255627,4.0,2005,2005-06-14,1
5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,There Is Nothing Left To Lose,28q2N44ocJECgf8sbHEDfY,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],3,1,False,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,4.0,1999,1999-11-02,1
69a3udBACapETLMsQaqm6i,Samurai Cop (Oh Joy Begin),Come Tomorrow,1Q6IYDePv0Dl8RXBnJ4jhy,['Dave Matthews Band'],['2TI7qyDE0QfyOlnbtfDo7L'],1,1,False,0.564,0.634,11,-4.998,1,0.0276,0.038,0.0,0.211,0.341,127.993,262240,4.0,2018,2018-06-08,0
1p0R5cAQaMh7lM5Zt3X67h,Here On Out,Come Tomorrow,1Q6IYDePv0Dl8RXBnJ4jhy,['Dave Matthews Band'],['2TI7qyDE0QfyOlnbtfDo7L'],3,1,False,0.474,0.287,2,-13.434,1,0.0311,0.866,7.730000000000001e-05,0.118,0.3279999999999999,160.05,198587,3.0,2018,2018-06-08,0
7EiOaCpj1RLKTYCPw5fQdi,Kind,Sunhead,5XGGmGk4hqRcpKMEeXwL7z,['Plini'],['3Gs10XJ4S4OEFrMRqZJcic'],1,1,False,0.612,0.7140000000000001,5,-6.896,0,0.0321,0.0564,0.873,0.0872,0.525,125.022,240000,4.0,2018,2018-07-27,1
7EI0LzrtgucQujRzDd0D3m,Salt + Charcoal,Sunhead,5XGGmGk4hqRcpKMEeXwL7z,['Plini'],['3Gs10XJ4S4OEFrMRqZJcic'],2,1,False,0.425,0.861,8,-6.919,1,0.0624,0.0693,0.833,0.121,0.345,129.876,270000,1.0,2018,2018-07-27,1
